"algorithm","localsearch","alpha","beta","rho","ants","q0","rasrank","elitistants","nnls","dlb","Elite"
3,4,2.44,2.4,0.68,61,0.66,NA,NA,11,1,FALSE
3,4,1.73,2.1,0.6,68,0.57,NA,NA,13,1,FALSE
3,4,4.32,7.31,0.76,66,0.13,NA,NA,18,1,FALSE
3,4,4.4,5.3,0.98,75,0.05,NA,NA,18,1,FALSE
3,4,3.41,6.68,0.99,47,0.09,NA,NA,20,1,FALSE
3,4,4.95,6.49,0.68,61,0.33,NA,NA,13,1,FALSE
3,4,1.95,2.49,0.54,55,0.62,NA,NA,21,1,FALSE
3,4,4.56,6.54,0.9,76,0.15,NA,NA,15,1,TRUE
3,4,2.34,2.12,0.7,59,0.61,NA,NA,14,1,TRUE
3,4,3.22,7.58,0.93,60,0.07,NA,NA,17,1,TRUE
3,4,4.81,6.41,0.75,68,0.01,NA,NA,17,1,TRUE
3,4,4.3,6.44,0.9,71,0.26,NA,NA,21,1,TRUE
3,4,2.42,2.07,0.75,63,0.64,NA,NA,11,1,FALSE
3,4,2.45,2.64,0.64,63,0.61,NA,NA,9,1,FALSE
3,4,4.62,6.45,0.89,72,0.36,NA,NA,20,1,FALSE
3,4,4.04,6.54,0.87,67,0.2,NA,NA,24,1,FALSE
3,4,4.79,5.71,0.72,74,0.06,NA,NA,24,1,FALSE
3,4,3.1,7.46,0.94,67,0.08,NA,NA,20,1,FALSE
3,2,1.01,1.65,0.5,62,0.15,NA,NA,46,2,FALSE
5,1,3.51,6.65,0.99,14,NA,NA,NA,NA,NA,FALSE
1,4,2.26,4.15,0.75,38,NA,NA,NA,11,1,FALSE
4,3,4.76,9.15,0.25,86,NA,NA,521,34,2,FALSE
4,2,4.14,5.4,0.87,50,NA,NA,614,29,2,FALSE
3,1,1.64,0.4,0.37,98,0.53,NA,NA,NA,NA,FALSE
2,4,2.89,7.9,0.13,74,NA,14,NA,17,1,FALSE
1,3,0.39,2.9,0.62,26,NA,NA,NA,40,2,FALSE
1,1,4.45,2.27,0.07,44,NA,NA,NA,NA,NA,FALSE
2,2,1.95,7.27,0.56,92,NA,83,NA,8,2,FALSE
5,4,0.7,9.77,0.31,20,NA,NA,NA,43,1,FALSE
3,3,3.2,4.77,0.81,68,0.97,NA,NA,20,2,FALSE
5,2,2.57,1.02,0.19,8,NA,NA,NA,26,2,FALSE
2,1,0.07,6.02,0.68,56,NA,45,NA,NA,NA,FALSE
4,3,1.32,8.52,0.44,32,NA,NA,380,14,2,FALSE
3,4,3.82,3.52,0.93,80,0.34,NA,NA,37,1,TRUE
4,1,1.17,4.46,0.16,71,NA,NA,732,NA,NA,FALSE
3,2,3.67,9.46,0.65,23,0.87,NA,NA,33,1,FALSE
1,4,4.92,6.96,0.41,95,NA,NA,NA,21,2,FALSE
2,3,2.42,1.96,0.9,47,NA,67,NA,44,1,FALSE
4,4,0.54,0.71,0.78,11,NA,NA,450,16,2,FALSE
1,3,3.04,5.71,0.28,59,NA,NA,NA,39,1,FALSE
5,2,1.79,3.21,0.03,83,NA,NA,NA,50,1,FALSE
2,1,4.29,8.21,0.53,35,NA,30,NA,NA,NA,FALSE
4,4,3.35,1.33,0.59,53,NA,NA,497,36,2,FALSE
3,3,0.85,6.33,0.1,5,0.06,NA,NA,13,1,FALSE
5,1,2.1,8.83,0.84,77,NA,NA,NA,NA,NA,FALSE
2,2,4.6,3.83,0.34,29,NA,99,NA,24,1,FALSE
1,2,0.23,7.58,0.96,65,NA,NA,NA,7,1,FALSE
4,1,2.73,2.58,0.47,17,NA,NA,591,NA,NA,FALSE
3,4,1.48,5.08,0.22,41,0.68,NA,NA,41,2,TRUE
5,3,3.98,0.08,0.72,89,NA,NA,NA,18,1,FALSE
3,3,4.53,5.24,0.48,12,0.29,NA,NA,6,1,FALSE
5,4,2.03,0.24,0.98,60,NA,NA,NA,29,2,FALSE
2,2,0.78,2.74,0.24,36,NA,56,NA,18,1,FALSE
1,1,3.28,7.74,0.73,84,NA,NA,NA,NA,NA,FALSE
5,3,0.15,1.49,0.85,96,NA,NA,NA,24,1,FALSE
2,4,2.65,6.49,0.36,48,NA,44,NA,47,2,FALSE
1,2,3.9,8.99,0.61,72,NA,NA,NA,12,1,FALSE
4,1,1.4,3.99,0.11,24,NA,NA,228,NA,NA,FALSE
4,1,4.84,3.37,0.3,66,NA,NA,368,NA,NA,FALSE
3,2,2.34,8.37,0.79,18,0.61,NA,NA,38,1,TRUE
2,3,3.59,0.87,0.55,42,NA,88,NA,49,1,FALSE
5,4,1.09,5.87,0.05,90,NA,NA,NA,26,2,FALSE
3,1,0.46,9.62,0.92,30,0.23,NA,NA,NA,NA,FALSE
5,2,2.96,4.62,0.42,78,NA,NA,NA,44,1,FALSE
1,3,1.71,7.12,0.17,54,NA,NA,NA,32,1,FALSE
4,4,4.21,2.12,0.67,6,NA,NA,87,9,2,FALSE
3,2,5,0.55,0.08,57,0.39,NA,NA,39,2,FALSE
5,1,2.5,5.55,0.58,9,NA,NA,NA,NA,NA,FALSE
1,4,3.75,3.05,0.82,33,NA,NA,NA,5,1,FALSE
2,3,1.25,8.05,0.33,81,NA,97,NA,28,2,FALSE
5,3,4.37,4.3,0.95,21,NA,NA,NA,45,2,FALSE
2,4,1.87,9.3,0.45,69,NA,34,NA,22,1,FALSE
4,2,0.62,6.8,0.7,45,NA,NA,251,34,2,FALSE
3,1,3.12,1.8,0.2,93,0.76,NA,NA,NA,NA,FALSE
1,2,1.56,2.43,0.27,15,NA,NA,NA,19,2,FALSE
2,1,4.06,7.43,0.76,63,NA,3,NA,NA,NA,FALSE
3,4,0.31,4.93,0.51,87,0.08,NA,NA,31,1,FALSE
4,3,2.81,9.93,0.02,39,NA,NA,17,8,2,FALSE
1,1,0.93,1.18,0.39,51,NA,NA,NA,NA,NA,FALSE
4,2,3.43,6.18,0.89,99,NA,NA,298,13,2,FALSE
2,3,2.18,3.68,0.64,75,NA,91,NA,25,2,FALSE
5,4,4.68,8.68,0.14,27,NA,NA,NA,48,1,TRUE
5,2,4.72,1.72,0.91,38,NA,NA,NA,41,2,FALSE
3,1,2.22,6.72,0.41,86,0.36,NA,NA,NA,NA,FALSE
1,3,0.97,9.22,0.66,14,NA,NA,NA,30,2,FALSE
2,4,3.47,4.22,0.17,62,NA,90,NA,7,1,FALSE
2,3,4.1,2.97,0.04,98,NA,27,NA,47,2,FALSE
5,4,1.6,7.97,0.54,50,NA,NA,NA,24,1,FALSE
4,1,2.85,0.47,0.78,26,NA,NA,187,NA,NA,FALSE
3,2,0.35,5.47,0.29,74,0.99,NA,NA,35,2,FALSE
1,2,3.16,7.35,0.1,20,NA,NA,NA,15,2,FALSE
4,1,0.66,2.35,0.6,68,NA,NA,46,NA,NA,FALSE
5,3,1.91,4.85,0.35,44,NA,NA,NA,27,2,FALSE
2,4,4.41,9.85,0.85,92,NA,96,NA,50,1,FALSE
3,3,2.53,8.6,0.97,56,0.18,NA,NA,10,2,FALSE
4,4,0.03,3.6,0.48,8,NA,NA,327,33,1,FALSE
1,1,3.78,6.1,0.23,32,NA,NA,NA,NA,NA,FALSE
2,2,1.28,1.1,0.72,80,NA,9,NA,21,2,FALSE
4,3,1.75,5.79,0.82,35,NA,NA,351,31,1,FALSE
1,4,4.25,0.79,0.32,83,NA,NA,NA,8,2,FALSE
3,2,3,3.29,0.57,11,0.02,NA,NA,43,1,TRUE
5,1,0.5,8.29,0.07,59,NA,NA,NA,NA,NA,FALSE
1,3,3.63,2.04,0.44,71,NA,NA,NA,48,1,FALSE
2,4,1.13,7.04,0.94,23,NA,81,NA,25,2,FALSE
4,2,2.38,9.54,0.2,95,NA,NA,69,37,1,FALSE
3,1,4.88,4.54,0.69,47,0.65,NA,NA,NA,NA,FALSE
2,3,0.19,0.16,0.14,17,NA,49,NA,22,1,FALSE
5,4,2.69,5.16,0.63,65,NA,NA,NA,45,2,FALSE
1,1,1.44,2.66,0.88,89,NA,NA,NA,NA,NA,FALSE
3,4,3.82,3.52,0.93,80,0.34,NA,NA,37,1,TRUE
3,4,1.48,5.08,0.22,41,0.68,NA,NA,41,2,TRUE
3,2,2.34,8.37,0.79,18,0.61,NA,NA,38,1,TRUE
5,4,4.68,8.68,0.14,27,NA,NA,NA,48,1,TRUE
3,2,3,3.29,0.57,11,0.02,NA,NA,43,1,TRUE
5,1,1.81,7.2,0.19,92,NA,NA,NA,NA,NA,FALSE
3,3,3.81,3.25,0.76,72,0.57,NA,NA,25,2,FALSE
5,4,3.71,9.71,0.53,75,NA,NA,NA,33,1,TRUE
4,3,2.35,6.85,0.62,55,NA,NA,319,47,2,FALSE
3,3,2.98,3.2,0.75,27,0.19,NA,NA,46,2,FALSE
4,4,0.83,4.52,0.78,87,NA,NA,382,24,2,FALSE
4,4,3.92,7.14,0.03,20,NA,NA,747,33,2,FALSE
3,1,2.19,3.22,0.14,78,0.38,NA,NA,NA,NA,FALSE
2,1,2.43,4.15,0.75,83,NA,84,NA,NA,NA,FALSE
4,1,4.71,5.61,0.18,12,NA,NA,675,NA,NA,FALSE
2,2,1.59,1.3,0.06,46,NA,94,NA,18,2,FALSE
2,4,3.6,7.33,0.49,55,NA,90,NA,45,2,FALSE
4,1,1.1,3.75,0.18,82,NA,NA,178,NA,NA,FALSE
2,4,1.77,4.73,0.27,49,NA,99,NA,20,2,FALSE
3,2,0.92,0.23,0.56,14,0.82,NA,NA,50,2,FALSE
1,4,1.14,7.47,0.74,61,NA,NA,NA,28,2,FALSE
1,1,2.24,4.31,0.56,24,NA,NA,NA,NA,NA,FALSE
2,1,2.2,2.95,0.77,59,NA,38,NA,NA,NA,FALSE
4,4,3.16,8.37,0.04,5,NA,NA,735,36,2,FALSE
3,2,4.22,9.48,0.05,20,0.66,NA,NA,37,1,FALSE
4,3,3.54,8.9,0.19,28,NA,NA,404,27,1,FALSE
2,2,2.1,2.11,0.46,94,NA,83,NA,43,1,FALSE
4,1,0.54,9.18,0.16,69,NA,NA,187,NA,NA,FALSE
3,3,4.95,3.2,0.92,63,0.44,NA,NA,19,2,FALSE
4,4,2.25,2.75,0.91,98,NA,NA,227,42,2,FALSE
5,1,2.78,4.11,0.51,25,NA,NA,NA,NA,NA,FALSE
4,1,0.17,5.17,0.05,10,NA,NA,321,NA,NA,FALSE
1,1,3.98,1.78,0.48,93,NA,NA,NA,NA,NA,FALSE
5,2,0.3,0.23,0.91,66,NA,NA,NA,40,2,FALSE
3,2,4.15,0,0.98,97,0.57,NA,NA,36,1,FALSE
3,2,0.3,9.57,0.41,43,0.4,NA,NA,40,1,FALSE
3,3,1.52,6.7,0.91,8,0.34,NA,NA,39,1,FALSE
3,4,3.35,8.76,0.58,61,0.78,NA,NA,43,2,TRUE
4,4,3.73,0.58,0.55,47,NA,NA,288,41,2,FALSE
3,1,1.91,7.33,0.89,61,0.44,NA,NA,NA,NA,FALSE
3,1,2.13,4.75,0.27,45,0.78,NA,NA,NA,NA,FALSE
3,3,2.48,8.79,0.77,31,0.88,NA,NA,49,1,FALSE
5,4,4.67,8.92,0.25,64,NA,NA,NA,42,1,FALSE
1,1,1.07,5.29,0.99,44,NA,NA,NA,NA,NA,FALSE
1,2,3.7,8.51,0.16,87,NA,NA,NA,46,1,FALSE
1,3,3.42,6.96,0.41,20,NA,NA,NA,32,1,FALSE
2,3,1.09,3.12,0.78,56,NA,46,NA,31,2,FALSE
4,4,3,3.38,0.98,80,NA,NA,412,22,1,FALSE
5,2,3.08,3.81,0.12,23,NA,NA,NA,35,1,FALSE
3,3,3.89,7.98,0.62,62,0.51,NA,NA,37,1,FALSE
3,2,2.62,2.89,0.97,51,0.18,NA,NA,49,2,FALSE
1,3,2.42,4.57,0.07,69,NA,NA,NA,41,2,FALSE
4,4,3.09,2.62,0.67,84,NA,NA,51,20,2,FALSE
3,1,3.69,7.26,0.58,53,0.41,NA,NA,NA,NA,FALSE
3,2,2.38,6.37,0.48,33,0.45,NA,NA,16,1,FALSE
1,2,0.81,8.28,0.83,26,NA,NA,NA,8,1,FALSE
5,4,3.14,4.24,0.57,67,NA,NA,NA,28,1,FALSE
2,4,3.23,3.09,0.7,83,NA,7,NA,31,2,TRUE
5,2,3.25,8.27,0.42,17,NA,NA,NA,39,1,FALSE
1,3,2.69,7.77,0.93,76,NA,NA,NA,14,1,FALSE
5,4,4.81,9.96,0.2,78,NA,NA,NA,33,2,FALSE
2,3,3.69,4.01,0.59,50,NA,77,NA,36,2,FALSE
3,4,3.5,4.47,0.52,40,0.91,NA,NA,43,1,FALSE
1,1,4.45,7.97,0.74,95,NA,NA,NA,NA,NA,FALSE
3,2,2.99,5.11,0.03,13,0.62,NA,NA,32,1,FALSE
3,3,2.88,2.4,0.86,43,0.42,NA,NA,44,1,FALSE
5,1,2.79,0.62,0.52,39,NA,NA,NA,NA,NA,FALSE
5,2,0.18,7.55,0.57,75,NA,NA,NA,36,2,FALSE
4,4,4.99,4.94,0.7,92,NA,NA,180,42,1,FALSE
1,3,3.15,6.45,0.66,99,NA,NA,NA,46,1,FALSE
3,4,4.99,4.66,0.38,98,0.23,NA,NA,37,2,FALSE
3,4,3.3,7.06,0.61,22,0.56,NA,NA,50,1,TRUE
1,3,3.71,6.41,0.4,40,NA,NA,NA,49,2,FALSE
1,1,0.98,1.75,0.46,51,NA,NA,NA,NA,NA,FALSE
5,1,1,3.51,0.84,57,NA,NA,NA,NA,NA,FALSE
3,4,3.3,7.06,0.61,22,0.56,NA,NA,50,1,TRUE
3,4,3.35,8.76,0.58,61,0.78,NA,NA,43,2,TRUE
2,4,3.23,3.09,0.7,83,NA,7,NA,31,2,TRUE
5,4,3.71,9.71,0.53,75,NA,NA,NA,33,1,TRUE
2,2,4.05,5.04,0.46,73,NA,28,NA,39,1,FALSE
5,2,3.49,9.64,0.47,56,NA,NA,NA,37,2,FALSE
4,4,0.33,7.88,0.83,61,NA,NA,80,29,1,FALSE
3,4,2.1,6.63,0.53,30,0.62,NA,NA,48,2,FALSE
3,4,2.97,9.93,0.69,43,0.88,NA,NA,31,1,TRUE
4,4,2.75,4.43,0.32,30,NA,NA,537,44,1,FALSE
3,2,2.51,6.85,0.52,22,0.48,NA,NA,35,1,FALSE
2,4,2.44,5.92,0.65,12,NA,83,NA,46,1,FALSE
1,2,4.7,4.58,0.72,57,NA,NA,NA,46,1,FALSE
4,1,2.41,9.77,0.39,37,NA,NA,399,NA,NA,FALSE
2,4,4.89,4.28,0.58,95,NA,43,NA,27,2,FALSE
1,4,2.85,6.55,0.58,37,NA,NA,NA,42,2,FALSE
2,4,1.95,4.84,0.77,100,NA,10,NA,34,2,FALSE
2,4,3.48,0.87,0.77,85,NA,13,NA,40,2,TRUE
5,4,3.38,7.6,0.47,60,NA,NA,NA,44,1,FALSE
2,2,2.78,6.87,0.68,28,NA,9,NA,28,1,FALSE
2,1,3.24,8.74,0.57,13,NA,71,NA,NA,NA,FALSE
3,4,2.56,8.06,0.55,77,0.64,NA,NA,45,2,FALSE
3,4,4.12,7.08,0.71,23,0.54,NA,NA,43,1,FALSE
4,4,3.27,9.55,0.33,90,NA,NA,206,43,2,FALSE
3,4,4.42,7.58,0.68,47,0.59,NA,NA,36,1,FALSE
3,3,3.09,9.47,1,60,0.68,NA,NA,37,1,FALSE
3,4,4.2,6.66,0.39,73,0.72,NA,NA,31,1,FALSE
3,1,4.15,8.45,0.44,51,0.36,NA,NA,NA,NA,FALSE
5,3,3.15,7.31,0.35,76,NA,NA,NA,37,1,FALSE
1,4,3.43,5.8,0.8,24,NA,NA,NA,25,2,FALSE
3,4,3.33,4.91,0.53,30,0.61,NA,NA,49,1,FALSE
4,4,3.19,7.17,0.73,69,NA,NA,111,48,2,FALSE
2,4,1.7,7.81,0.58,80,NA,53,NA,34,2,FALSE
3,4,4.97,8.48,0.69,6,0.43,NA,NA,29,2,FALSE
5,4,2.42,9.49,0.44,63,NA,NA,NA,38,1,FALSE
3,4,1.44,6.7,0.23,41,0.86,NA,NA,45,1,FALSE
3,1,0.94,6.96,0.56,41,0.39,NA,NA,NA,NA,FALSE
3,1,2.15,6.61,0.7,34,0.23,NA,NA,NA,NA,FALSE
3,4,1.72,9.14,0.28,20,0.91,NA,NA,38,1,TRUE
4,4,4.07,5.42,0.61,91,NA,NA,687,13,2,FALSE
5,3,3.65,7.61,0.55,79,NA,NA,NA,28,2,FALSE
3,4,1.71,9.32,0.92,21,0.07,NA,NA,40,1,FALSE
2,4,3.12,2.74,0.86,44,NA,11,NA,27,2,FALSE
3,4,3.85,6.36,0.38,36,0.42,NA,NA,33,2,FALSE
3,4,3.01,8.86,0.63,89,0.96,NA,NA,44,2,FALSE
5,4,1.59,7.81,0.65,74,NA,NA,NA,50,1,FALSE
3,4,2.09,7.33,0.41,33,0.64,NA,NA,46,1,FALSE
4,4,4.65,6.89,0.77,29,NA,NA,349,40,1,FALSE
3,3,1.97,4.67,0.4,11,0.55,NA,NA,42,1,FALSE
3,4,2.68,5.86,0.64,46,0.46,NA,NA,50,1,FALSE
5,4,4.54,4.78,0.87,89,NA,NA,NA,23,2,FALSE
3,2,1.32,7.5,0.66,25,0.47,NA,NA,41,1,FALSE
2,2,4.19,8.04,0.54,59,NA,88,NA,36,2,FALSE
3,4,2.9,8.72,0.23,45,0.48,NA,NA,42,2,FALSE
4,4,2.18,5.76,0.9,20,NA,NA,182,48,1,FALSE
2,4,1.91,5.27,0.49,36,NA,4,NA,25,1,FALSE
3,4,3.17,6.54,0.76,18,0.29,NA,NA,47,1,FALSE
3,2,3.67,8.81,0.85,46,0.43,NA,NA,39,2,FALSE
2,4,3.8,1.04,0.75,47,NA,4,NA,22,2,FALSE
3,4,3.71,5.24,0.6,80,0.4,NA,NA,29,2,FALSE
3,3,3.27,8.52,0.63,32,0.67,NA,NA,47,2,FALSE
5,1,2.03,3.84,0.89,18,NA,NA,NA,NA,NA,FALSE
3,4,2.44,5.28,0.91,66,0.57,NA,NA,25,2,FALSE
5,3,1.47,8.86,0.44,12,NA,NA,NA,23,1,FALSE
3,4,1.3,3.76,0.43,81,0.51,NA,NA,43,1,FALSE
3,4,3.91,8.97,0.21,79,0.25,NA,NA,24,1,FALSE
2,4,3.11,4.11,0.64,91,NA,22,NA,27,1,TRUE
4,4,4.38,8.31,0.35,91,NA,NA,1,26,2,FALSE
5,4,3.08,7.44,0.53,66,NA,NA,NA,48,2,FALSE
3,2,3.13,9.02,0.56,60,0.49,NA,NA,45,1,FALSE
2,4,1.72,2.33,0.75,96,NA,25,NA,35,2,FALSE
3,4,4.2,4.64,0.57,91,0.39,NA,NA,39,2,FALSE
5,2,2.64,7.76,0.55,62,NA,NA,NA,42,2,FALSE
4,2,3.34,8.71,0.71,39,NA,NA,586,42,1,FALSE
3,4,2.97,9.93,0.69,43,0.88,NA,NA,31,1,TRUE
3,4,1.72,9.14,0.28,20,0.91,NA,NA,38,1,TRUE
2,4,3.11,4.11,0.64,91,NA,22,NA,27,1,TRUE
3,4,3.35,8.76,0.58,61,0.78,NA,NA,43,2,TRUE
2,4,3.48,0.87,0.77,85,NA,13,NA,40,2,TRUE
3,4,0.91,7.63,0.46,24,0.77,NA,NA,45,2,FALSE
2,4,2.71,4.23,0.58,77,NA,28,NA,26,1,FALSE
3,4,3.23,8.67,0.58,40,0.69,NA,NA,20,1,FALSE
3,4,1.59,8.5,0.28,40,0.85,NA,NA,48,1,FALSE
3,2,1.89,9.05,0.23,38,0.89,NA,NA,40,1,FALSE
3,4,2.89,9.88,0.44,7,0.75,NA,NA,34,1,FALSE
3,4,3.85,9.9,0.6,58,0.79,NA,NA,24,1,TRUE
3,4,3.37,9.59,0.83,56,0.86,NA,NA,42,2,FALSE
3,4,3.64,8.51,0.45,30,0.88,NA,NA,25,1,FALSE
2,4,4.16,4.45,0.62,76,NA,31,NA,25,1,FALSE
3,4,3.69,9.97,0.69,44,0.88,NA,NA,40,1,FALSE
3,4,2.49,6.47,0.48,61,0.85,NA,NA,50,2,FALSE
2,4,1.14,7.36,0.21,40,NA,33,NA,47,1,FALSE
2,4,3.49,9.15,0.72,47,NA,75,NA,23,1,FALSE
3,4,2.67,7.14,0.72,59,0.91,NA,NA,32,1,FALSE
3,4,2.03,8.61,0.73,41,0.84,NA,NA,37,2,FALSE
5,4,3.62,6.15,0.58,63,NA,NA,NA,49,2,FALSE
5,4,2.35,9.01,0.1,24,NA,NA,NA,39,1,FALSE
3,4,4.41,7.87,0.4,83,0.83,NA,NA,37,2,FALSE
3,4,3.04,9.51,0.78,47,0.8,NA,NA,34,1,FALSE
3,4,3.12,1.62,0.76,93,0.32,NA,NA,38,1,FALSE
3,4,3.09,9.43,0.46,19,0.91,NA,NA,27,1,FALSE
3,4,3.28,7.56,0.49,35,0.81,NA,NA,35,1,FALSE
3,4,2.8,9.22,0.58,35,0.8,NA,NA,23,1,FALSE
2,4,2.73,3.32,0.65,95,NA,45,NA,30,1,FALSE
3,4,3.59,9.75,0.63,33,0.62,NA,NA,30,1,FALSE
3,4,1.88,8.82,0.02,5,0.89,NA,NA,40,1,FALSE
2,4,3.01,1.79,0.62,82,NA,27,NA,8,2,FALSE
3,4,0.9,9.38,0.32,7,0.79,NA,NA,28,1,FALSE
3,3,0.94,9.43,0.4,23,0.76,NA,NA,35,1,FALSE
3,4,2.29,9.56,0.86,29,0.74,NA,NA,22,1,FALSE
3,4,3.28,1.57,0.62,67,0.99,NA,NA,46,2,FALSE
2,4,2.58,2.91,0.67,95,NA,9,NA,23,1,FALSE
3,4,2.58,8.53,0.35,30,0.76,NA,NA,44,2,FALSE
2,4,4.18,1.15,0.64,78,NA,31,NA,37,2,FALSE
3,4,1.95,8.36,0.15,26,0.9,NA,NA,43,1,FALSE
4,4,3.43,8.96,0.5,53,NA,NA,655,39,2,FALSE
3,4,1.74,8.55,0.47,19,0.91,NA,NA,24,1,TRUE
3,4,2.95,8.67,0.91,50,0.82,NA,NA,39,1,FALSE
3,4,3.11,8.66,0.56,63,0.96,NA,NA,41,2,FALSE
5,4,3.9,3.78,0.59,89,NA,NA,NA,28,2,FALSE
2,4,3.25,3.36,0.56,57,NA,11,NA,22,1,FALSE
2,4,2.48,9.22,0.91,62,NA,1,NA,36,1,FALSE
5,4,2.83,8.68,0.47,39,NA,NA,NA,44,1,FALSE
2,4,2.83,3.43,0.29,72,NA,21,NA,24,2,FALSE
3,4,2.38,9.26,0.23,30,0.62,NA,NA,33,1,FALSE
2,4,2.63,3.14,0.59,90,NA,27,NA,37,1,FALSE
2,1,2.19,3.65,0.58,57,NA,9,NA,NA,NA,FALSE
3,4,2.7,7.65,0.82,56,0.99,NA,NA,27,1,FALSE
1,4,1.24,8.34,0.59,35,NA,NA,NA,32,1,FALSE
4,4,2.69,8.13,0.88,44,NA,NA,226,42,2,FALSE
3,4,3.35,9.21,0.73,70,0.31,NA,NA,44,1,FALSE
3,4,1.99,9.81,0.6,62,0.96,NA,NA,32,1,FALSE
3,4,3.29,8.39,0.76,22,0.86,NA,NA,24,1,FALSE
3,4,2.76,3.86,0.85,100,0.61,NA,NA,33,2,FALSE
2,4,2.41,4.3,0.74,93,NA,6,NA,41,1,FALSE
2,4,4.34,6.13,0.6,66,NA,31,NA,29,2,FALSE
3,4,2.27,9.98,0.19,32,0.89,NA,NA,39,1,FALSE
3,4,2.65,6.81,0.64,48,0.63,NA,NA,27,1,TRUE
2,4,2.99,3.71,0.62,91,NA,35,NA,8,1,FALSE
3,4,3.74,7.28,0.79,77,0.77,NA,NA,34,2,FALSE
2,1,0.6,6.67,0.55,65,NA,12,NA,NA,NA,FALSE
3,4,4.56,6.47,0.5,49,0.49,NA,NA,45,1,FALSE
3,4,3.53,9.22,0.39,47,0.71,NA,NA,35,1,FALSE
3,4,1.92,9.65,0.6,54,0.83,NA,NA,31,1,FALSE
5,4,3.12,9.53,0.36,65,NA,NA,NA,46,1,FALSE
3,4,4.63,9.65,0.63,54,0.99,NA,NA,41,2,FALSE
2,4,3.71,0.32,0.58,84,NA,81,NA,48,1,FALSE
3,4,3.85,9.9,0.6,58,0.79,NA,NA,24,1,TRUE
3,4,1.74,8.55,0.47,19,0.91,NA,NA,24,1,TRUE
3,4,2.65,6.81,0.64,48,0.63,NA,NA,27,1,TRUE
3,4,2.4,7.39,0.84,36,0.61,NA,NA,23,1,FALSE
3,1,3.04,9.62,0.67,47,0.77,NA,NA,NA,NA,FALSE
3,4,1.94,7.82,0.32,32,0.69,NA,NA,22,1,FALSE
3,4,3.61,5.54,0.63,46,0.57,NA,NA,26,1,FALSE
3,4,1.43,9.02,0.47,11,0.84,NA,NA,26,1,FALSE
3,4,2.24,5.78,0.62,34,0.74,NA,NA,30,1,FALSE
3,4,1.89,8.76,0.53,25,0.91,NA,NA,30,1,FALSE
1,4,4.55,7.93,0.58,66,NA,NA,NA,25,1,FALSE
3,4,1.2,9.69,0.61,26,0.93,NA,NA,31,1,FALSE
3,4,3.26,9.24,0.66,48,0.87,NA,NA,13,1,FALSE
3,4,3.35,9.02,0.45,62,0.72,NA,NA,27,1,FALSE
3,4,1.02,6.98,0.66,54,0.67,NA,NA,26,1,FALSE
3,4,2.95,9.88,0.51,62,0.58,NA,NA,19,1,FALSE
3,4,1.61,8.03,0.48,12,0.92,NA,NA,16,1,TRUE
3,4,4.02,8.84,0.66,54,0.7,NA,NA,28,1,FALSE
3,3,2.49,8.06,0.8,45,0.73,NA,NA,26,1,FALSE
3,4,4.27,8.19,0.73,37,0.65,NA,NA,19,1,FALSE
3,4,3.47,8.92,0.65,43,0.88,NA,NA,13,1,FALSE
3,4,4.51,9.53,0.49,38,0.8,NA,NA,33,1,FALSE
3,4,3.54,8.94,0.62,76,0.67,NA,NA,24,1,FALSE
3,4,4.04,9.7,0.51,63,0.95,NA,NA,27,1,FALSE
3,4,4.01,8.59,0.73,61,0.75,NA,NA,26,1,FALSE
3,4,1.82,9.23,0.38,21,0.9,NA,NA,23,1,FALSE
3,4,1.88,7.45,0.52,13,0.79,NA,NA,19,1,FALSE
3,4,1.88,8.67,0.33,38,0.93,NA,NA,27,1,FALSE
3,4,1.5,9.04,0.47,31,0.78,NA,NA,22,1,FALSE
3,4,4.15,9.28,0.69,48,0.75,NA,NA,18,1,FALSE
3,4,3.93,7.67,0.63,55,0.8,NA,NA,26,1,FALSE
3,4,4.29,7.26,0.52,36,0.71,NA,NA,22,1,FALSE
3,4,2.7,8.05,0.57,51,0.96,NA,NA,30,1,FALSE
3,4,2.07,5.11,0.6,57,0.56,NA,NA,23,1,FALSE
3,4,1.91,7.41,0.59,18,0.84,NA,NA,14,1,FALSE
3,4,4.38,7.98,0.32,66,0.82,NA,NA,26,1,FALSE
3,4,2.36,6.07,0.68,65,0.5,NA,NA,31,1,FALSE
2,4,3.19,8.53,0.63,61,NA,38,NA,27,1,FALSE
3,4,3.4,7.9,0.55,54,0.99,NA,NA,21,1,FALSE
3,4,3.47,7.18,0.63,64,0.57,NA,NA,27,1,TRUE
1,4,1.84,7.2,0.74,36,NA,NA,NA,29,1,FALSE
3,4,2.12,7.97,0.38,31,0.84,NA,NA,25,1,FALSE
3,4,2.48,9.94,0.47,20,0.91,NA,NA,24,1,FALSE
3,4,4.2,9.61,0.59,81,0.81,NA,NA,24,1,FALSE
3,4,3.28,9.71,0.59,65,0.7,NA,NA,22,1,FALSE
3,4,3.92,8.08,0.65,58,0.64,NA,NA,26,1,FALSE
3,4,1.52,7.72,0.52,28,0.96,NA,NA,19,1,FALSE
3,4,2.39,7.44,0.25,32,0.94,NA,NA,14,1,FALSE
3,4,4.08,9.83,0.71,64,0.66,NA,NA,15,1,TRUE
3,4,3.32,7.33,0.35,59,0.64,NA,NA,28,1,FALSE
3,4,2.6,7.35,0.39,20,0.94,NA,NA,27,1,FALSE
